Dissecting Hessian: Understanding Common Structure of Hessian in Neural Networks,['https://www.semanticscholar.org/paper/Dissecting-Hessian%3A-Understanding-Common-Structure-Wu-Zhu/ba0d43cb63b83a95cf56d13213b07d42f0c3bb40'],"[{'Citations': 2, 'Highly Influential Citations': '1', 'Background Citations': '2'}]"
Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with $1/n$ Parameters,['https://www.semanticscholar.org/paper/Beyond-Fully-Connected-Layers-with-Quaternions%3A-of-Zhang-Tay/1d5f5df837139d4ae8af23e3634295594c5b85db'],"[{'Citations': 4, 'Highly Influential Citations': '3', 'Background Citations': '3', 'Methods Citations': '3'}]"
Trusted Multi-View Classification,['https://www.semanticscholar.org/paper/Trusted-Multi-View-Classification-Han-Zhang/0fa224f1de6fe38cdeae3cd40de5249475cddf60'],"[{'Citations': 1, 'Background Citations': '1'}]"
Knowledge Distillation as Semiparametric Inference,['https://www.semanticscholar.org/paper/Knowledge-Distillation-as-Semiparametric-Inference-Dao-Kamath/6dde2751467e286e72cf6a49ae90e8bbdcd3e91f'],"[{'Citations': 1, 'Background Citations': '1'}]"
Initialization and Regularization of Factorized Neural Layers,['https://www.semanticscholar.org/paper/Initialization-and-Regularization-of-Factorized-Khodak-Tenenholtz/5d866a10a7a9b9f784a618e9b48d03456e6282b0'],[{'Citations': 0}]
Learning N:M  Fine-grained Structured Sparse Neural Networks From Scratch,['https://www.semanticscholar.org/paper/Learning-N%3A-M-Fine-grained-Structured-Sparse-Neural-Zhou-Ma/5e38dc1ccf33ac1df09b8eb6476f110cb3d1966f'],"[{'Citations': 10, 'Highly Influential Citations': '1', 'Background Citations': '5', 'Methods Citations': '2'}]"
Neural Jump Ordinary Differential Equations: Consistent Continuous-Time Prediction and Filtering,['https://www.semanticscholar.org/paper/Neural-Jump-Ordinary-Differential-Equations%3A-and-Herrera-Krach/6b80b2a9971755106410051a540b28fdf48c49fd'],"[{'Citations': 2, 'Background Citations': '1', 'Methods Citations': '1'}]"
Go with the flow: Adaptive control for Neural ODEs,['https://www.semanticscholar.org/paper/Go-with-the-flow%3A-Adaptive-control-for-Neural-ODEs-Chalvidal-Ricci/713fbb2d0de765dda86384ee5a15852dff4a0064'],"[{'Citations': 1, 'Background Citations': '1', 'Methods Citations': '1'}]"
Orthogonalizing Convolutional Layers with the Cayley Transform,['https://www.semanticscholar.org/paper/Orthogonalizing-Convolutional-Layers-with-the-Trockman-Kolter/9f0e0a59a4b3d689df8470b1218d2574244c26d6'],"[{'Citations': 2, 'Highly Influential Citations': '2', 'Background Citations': '2', 'Methods Citations': '2', 'Results Citations': '2'}]"
Layer-adaptive Sparsity for the Magnitude-based Pruning,['https://www.semanticscholar.org/paper/Layer-adaptive-Sparsity-for-the-Magnitude-based-Lee-Park/fcd3e91958ba969f11003f8ee9e95ac60e3b0366'],"[{'Citations': 1, 'Highly Influential Citations': '1', 'Background Citations': '1', 'Methods Citations': '1'}]"
PSTNet: Point Spatio-Temporal Convolution on Point Cloud Sequences,['https://www.semanticscholar.org/paper/PSTNet%3A-Point-Spatio-Temporal-Convolution-on-Point-Fan-Yu/1b10aa9cf95b41a19317dee2e8cc11c2edd73418'],"[{'Citations': 3, 'Background Citations': '1', 'Methods Citations': '2'}]"
Self-supervised Representation Learning with Relative Predictive Coding,['https://www.semanticscholar.org/paper/Self-supervised-Representation-Learning-with-Coding-Tsai-Ma/c47a26236cbd5446c4b1897ec5eafa8a9bfbce54'],"[{'Citations': 4, 'Background Citations': '3', 'Methods Citations': '2'}]"
Generalization bounds via distillation,['https://www.semanticscholar.org/paper/Generalization-bounds-via-distillation-Hsu-Ji/1488259fc61220397eef585a857cb5b34cb7f2db'],"[{'Citations': 4, 'Background Citations': '2'}]"
Deep Networks and the Multiple Manifold Problem,['https://www.semanticscholar.org/paper/Deep-Networks-and-the-Multiple-Manifold-Problem-Buchanan-Gilboa/4d5bb81da39b39b8158f63a0babc3c8e24c730cc'],"[{'Citations': 4, 'Highly Influential Citations': '1', 'Background Citations': '1'}]"
Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients,['https://www.semanticscholar.org/paper/Deep-symbolic-regression%3A-Recovering-mathematical-Petersen/009939de4066d68680760741a94d95a9c99fe3dc'],"[{'Citations': 8, 'Highly Influential Citations': '1', 'Background Citations': '6', 'Methods Citations': '5'}]"
Evaluations and Methods for Explanation through Robustness Analysis,['https://www.semanticscholar.org/paper/Evaluations-and-Methods-for-Explanation-through-Hsieh-Yeh/20e0abdfed000269d3eabe1313223701030c2ed9'],"[{'Citations': 9, 'Highly Influential Citations': '1', 'Background Citations': '6', 'Methods Citations': '2'}]"
FedBN: Federated Learning on Non-IID Features via Local Batch Normalization,['https://www.semanticscholar.org/paper/FedBN%3A-Federated-Learning-on-Non-IID-Features-via-Li-Jiang/67daf63f88e38574655b47948f7b83acc51a8248'],"[{'Citations': 10, 'Highly Influential Citations': '4', 'Background Citations': '7', 'Methods Citations': '4', 'Results Citations': '1'}]"
Tomographic Auto-Encoder: Unsupervised Bayesian Recovery of Corrupted Data,['https://www.semanticscholar.org/paper/Tomographic-Auto-Encoder%3A-Unsupervised-Bayesian-of-Tonolini-Moreno/f8d73165f7c27e36283621117fb6ecaa51f73d06'],[{'Citations': 0}]
X2T: Training an X-to-Text Typing Interface with Online Learning from User Feedback,['https://www.semanticscholar.org/paper/X2T%3A-Training-an-X-to-Text-Typing-Interface-with-Gao-Reddy/2a66fda232180a1701016ff5c15d1761ddfa2004'],[{'Citations': 0}]
Rethinking Architecture Selection in Differentiable NAS,['https://www.semanticscholar.org/paper/Rethinking-Architecture-Selection-in-Differentiable-Wang-Cheng/958cc02ad685721d64e6321aa93e3125884ed253'],"[{'Citations': 7, 'Highly Influential Citations': '2', 'Background Citations': '6', 'Methods Citations': '4', 'Results Citations': '1'}]"
Grounding Physical Concepts of Objects and Events Through Dynamic Visual Reasoning,['https://www.semanticscholar.org/paper/Grounding-Physical-Concepts-of-Objects-and-Events-Chen-Mao/a82ba50a270853445a3ebc3be39527dd9f56de50'],"[{'Citations': 4, 'Background Citations': '1', 'Methods Citations': '2'}]"
Byzantine-Resilient Non-Convex Stochastic Gradient Descent,['https://www.semanticscholar.org/paper/Byzantine-Resilient-Non-Convex-Stochastic-Gradient-Allen-Zhu-Ebrahimian/029c33e39236f01e83a952c4203d86e07a6c1532'],"[{'Citations': 3, 'Highly Influential Citations': '1', 'Background Citations': '1'}]"
ECONOMIC HYPERPARAMETER OPTIMIZATION WITH BLENDED SEARCH STRATEGY,['https://www.semanticscholar.org/paper/Economic-Hyperparameter-Optimization-with-Blended-Wang-Wu/ef990f95c8d9b800d022df7b2a94c43941610841'],"[{'Citations': 2, 'Highly Influential Citations': '1', 'Background Citations': '1', 'Methods Citations': '2'}]"
When Do Curricula Work?,['https://www.semanticscholar.org/paper/When-Do-Curricula-Work-Wu-Dyer/9d2c96574019305a8c86cc5b84cb9f616ccf0eb3'],"[{'Citations': 6, 'Background Citations': '2', 'Methods Citations': '2', 'Results Citations': '1'}]"
Learning Long-term Visual Dynamics with Region Proposal Interaction Networks,['https://www.semanticscholar.org/paper/Learning-Long-term-Visual-Dynamics-with-Region-Qi-Wang/4053a225b189852df0ef5d24bc5c400987778ac4'],"[{'Citations': 4, 'Highly Influential Citations': '1', 'Background Citations': '3', 'Methods Citations': '1'}]"
Modeling the Second Player in Distributionally Robust Optimization,['https://www.semanticscholar.org/paper/Modeling-the-Second-Player-in-Distributionally-Michel-Hashimoto/5ede529879d162d2779d410a5775d3f6cd6be3f4'],"[{'Citations': 2, 'Background Citations': '1', 'Methods Citations': '1'}]"
Multivariate Probabilistic Time Series Forecasting via Conditioned Normalizing Flows,['https://www.semanticscholar.org/paper/Multi-variate-Probabilistic-Time-Series-Forecasting-Rasul-Sheikh/5c6addaeed14ac145e37a9a4fc0bc3004e61e55c'],"[{'Citations': 12, 'Highly Influential Citations': '4', 'Background Citations': '4', 'Methods Citations': '5', 'Results Citations': '2'}]"
Estimating Treatment Effects via Orthogonal Regularization,['https://www.semanticscholar.org/paper/Estimating-Average-Treatment-Effects-via-Orthogonal-Hatt-Feuerriegel/a29c3049503d378f9b93121a1e1ae5d8f894e2cf'],"[{'Citations': 4, 'Background Citations': '2'}]"
"Few-Shot Learning via Learning the Representation, Provably",['https://www.semanticscholar.org/paper/Few-Shot-Learning-via-Learning-the-Representation%2C-Du-Hu/02841af780570666389643f2815460a10d9ae286'],"[{'Citations': 49, 'Highly Influential Citations': '2', 'Background Citations': '26', 'Methods Citations': '8', 'Results Citations': '3'}]"
One Network Fits All? Modular versus Monolithic Task Formulations in Neural Networks,['https://www.semanticscholar.org/paper/One-Network-Fits-All-Modular-versus-Monolithic-Task-Agarwala-Das/ad39e23d10551760987207b69aa5f22769ee25c1'],[{'Citations': 0}]
What are the Statistical Limits of Offline RL with Linear Function Approximation?,['https://www.semanticscholar.org/paper/What-are-the-Statistical-Limits-of-Offline-RL-with-Wang-Foster/bf53ddef241c58303b509faad4ec7514d3a6fc14'],"[{'Citations': 20, 'Highly Influential Citations': '4', 'Background Citations': '13', 'Methods Citations': '6', 'Results Citations': '1'}]"
Contemplating Real-World Object Classification,['https://www.semanticscholar.org/paper/Contemplating-real-world-object-classification-Borji/149a9180d1a6c140d267a2cda133448b12b81321'],"[{'Citations': 1, 'Background Citations': '1'}]"
Learning Energy-Based Generative Models via Coarse-to-Fine Expanding and Sampling,['https://www.semanticscholar.org/paper/Learning-Energy-Based-Generative-Models-via-and-Zhao-Xie/4f2f0869c4698afc71fe983e457aacc2cc234501'],"[{'Citations': 1, 'Highly Influential Citations': '1', 'Background Citations': '1', 'Results Citations': '1'}]"
Learning to Deceive Knowledge Graph Augmented Models via Targeted Perturbation,['https://www.semanticscholar.org/paper/Learning-to-Deceive-Knowledge-Graph-Augmented-via-Raman-Agarwal/a5654d5244b908a08936fcb7c13c03124dd5648e'],[{'Citations': 0}]
Seq2Tens: An Efficient Representation of Sequences by Low-Rank Tensor Projections,['https://www.semanticscholar.org/paper/Seq2Tens%3A-An-Efficient-Representation-of-Sequences-T%C3%B3th-Bonnier/75f6f8bf4f821d2aeee2d7d139014457aa2e9512'],[{'Citations': 2}]
FOCAL: Efficient Fully-Offline Meta-Reinforcement Learning via Distance Metric Learning and Behavior Regularization,['https://www.semanticscholar.org/paper/Efficient-Fully-Offline-Meta-Reinforcement-Learning-Li-Yang/fea1a877ef052c9666fc80a640d982a55524bbc6'],[{'Citations': 1}]
Efficient Empowerment Estimation for Unsupervised Stabilization,['https://www.semanticscholar.org/paper/Efficient-Empowerment-Estimation-for-Unsupervised-Zhao-Lu/c837ccfbab7832a57b6ab132a7b3998d672d7948'],"[{'Citations': 1, 'Methods Citations': '1'}]"
Learning with Feature-Dependent Label Noise: A Progressive Approach,['https://www.semanticscholar.org/paper/Learning-with-Feature-Dependent-Label-Noise%3A-A-Zhang-Zheng/0b0cbd2ce2b5a1b4c8846341675c93634327b85a'],"[{'Citations': 6, 'Highly Influential Citations': '2', 'Background Citations': '4', 'Methods Citations': '4', 'Results Citations': '1'}]"
Theoretical bounds on estimation error for meta-learning,['https://www.semanticscholar.org/paper/Theoretical-bounds-on-estimation-error-for-Lucas-Ren/3aa54ef5d0bc888f69c92edaacc090049eea1922'],"[{'Citations': 5, 'Background Citations': '3'}]"
Neural Pruning via Growing Regularization,['https://www.semanticscholar.org/paper/Neural-Pruning-via-Growing-Regularization-Wang-Qin/400080a724d55bbdd3cfc1c54f0aae6af4ec7879'],"[{'Citations': 3, 'Background Citations': '3', 'Methods Citations': '1'}]"
Neurally Augmented ALISTA,['https://www.semanticscholar.org/paper/Neurally-Augmented-ALISTA-Behrens-Sauder/68e4b45d99ec0ffa075d540a91fc27385d8f6707'],"[{'Citations': 1, 'Background Citations': '1'}]"
Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,['https://www.semanticscholar.org/paper/Theoretical-Analysis-of-Self-Training-with-Deep-on-Wei-Shen/5a41200eeee536e101b6e462014e7396f4841c28'],"[{'Citations': 25, 'Highly Influential Citations': '5', 'Background Citations': '16', 'Methods Citations': '4', 'Results Citations': '2'}]"
Better Fine-Tuning by Reducing Representational Collapse,['https://www.semanticscholar.org/paper/Better-Fine-Tuning-by-Reducing-Representational-Aghajanyan-Shrivastava/b88c11922cac84e5ea902f82d27ae21c3dda2e04'],"[{'Citations': 25, 'Highly Influential Citations': '3', 'Background Citations': '12', 'Methods Citations': '10', 'Results Citations': '1'}]"
On the Critical Role of Conventions in Adaptive Human-AI Collaboration,['https://www.semanticscholar.org/paper/On-the-Critical-Role-of-Conventions-in-Adaptive-Shih-Sawhney/53d035f903070b8b8ea47be79f9957738f63373b'],"[{'Citations': 2, 'Background Citations': '1'}]"
Meta-learning with negative learning rates,['https://www.semanticscholar.org/paper/Meta-learning-with-negative-learning-rates-Bernacchia/4454a763c891afb3fb8fa6567a367d05b1938e97'],"[{'Citations': 3, 'Background Citations': '3', 'Methods Citations': '1', 'Results Citations': '1'}]"
Random Feature Attention,['https://www.semanticscholar.org/paper/Random-Feature-Attention-Peng-Pappas/9ed25f101f19ea735ca300848948ed64064b97ca'],"[{'Citations': 21, 'Highly Influential Citations': '5', 'Background Citations': '15', 'Methods Citations': '10', 'Results Citations': '3'}]"
Contrastive  Learning  with Adversarial Perturbations for Conditional Text Generation,['https://www.semanticscholar.org/paper/Contrastive-Learning-with-Adversarial-Perturbations-Lee-Lee/7b00dcca92337be90a4c4c100a5704dc1932c303'],"[{'Citations': 2, 'Background Citations': '2', 'Methods Citations': '1'}]"
SOLAR: Sparse Orthogonal Learned and Random Embeddings,['https://www.semanticscholar.org/paper/SOLAR%3A-Sparse-Orthogonal-Learned-and-Random-Medini-Chen/b2881852a6b072c731c0a54001d2908b488cd86e'],"[{'Citations': 4, 'Background Citations': '1', 'Methods Citations': '3'}]"
Information Laundering for Model Privacy,['https://www.semanticscholar.org/paper/Information-Laundering-for-Model-Privacy-Wang-Xiang/d2212a1c37fad937fe807dbbb44fe78396ddfd3a'],"[{'Citations': 2, 'Background Citations': '1'}]"
"Kanerva++: Extending the Kanerva Machine With Differentiable, Locally Block Allocated Latent Memory",['https://www.semanticscholar.org/paper/Kanerva%2B%2B%3A-extending-The-Kanerva-Machine-with-block-Ramapuram-Wu/9c3cad7b30f026216ff557b9caa96a2fb15b02f4'],[{'Citations': 0}]
Bag of Tricks for Adversarial Training,['https://www.semanticscholar.org/paper/Bag-of-Tricks-for-Adversarial-Training-Pang-Yang/67f74fe9d46f88661573003f8f1f12967ae49fa3'],"[{'Citations': 27, 'Highly Influential Citations': '4', 'Background Citations': '13', 'Methods Citations': '9', 'Results Citations': '1'}]"
Uncertainty Estimation and Calibration with Finite-State Probabilistic RNNs,['https://www.semanticscholar.org/paper/Uncertainty-Estimation-and-Calibration-with-RNNs-Wang-Lawrence/a83e36e203a4e90c2af814320092fc8f78f4ce28'],"[{'Citations': 1, 'Background Citations': '1'}]"
Learning a Latent Simplex in Input Sparsity Time,['https://www.semanticscholar.org/paper/Learning-a-Latent-Simplex-in-Input-Sparsity-Time-Bakshi-Bhattacharyya/71d0156086aa83f7c4249c17d6df23fe9abae30d'],[{'Citations': 1}]
Explaining the Efficacy of Counterfactually Augmented Data,['https://www.semanticscholar.org/paper/Explaining-The-Efficacy-of-Data-Kaushik-Setlur/24fcdaf969089e6a411f7cebc9274bbc53c25e42'],"[{'Citations': 7, 'Highly Influential Citations': '2', 'Background Citations': '5', 'Methods Citations': '3', 'Results Citations': '1'}]"
A unifying view on implicit bias in training linear neural networks,['https://www.semanticscholar.org/paper/A-Unifying-View-on-Implicit-Bias-in-Training-Linear-Yun-Krishnan/a79a7820506e608d3729c76247341182676b2451'],"[{'Citations': 9, 'Highly Influential Citations': '2', 'Background Citations': '5'}]"
Uncertainty in Gradient Boosting via Ensembles,['https://www.semanticscholar.org/paper/Uncertainty-in-Gradient-Boosting-via-Ensembles-Ustimenko-Prokhorenkova/4528b9f6eb57cb7f180060150877616c956a63fd'],"[{'Citations': 6, 'Background Citations': '2'}]"
Learning to Reach Goals via Iterated Supervised Learning,['https://www.semanticscholar.org/paper/Learning-to-Reach-Goals-via-Iterated-Supervised-Ghosh-Gupta/831e7cbafed2dca05db1e7f5ef16d1a7614f44ec'],"[{'Citations': 15, 'Highly Influential Citations': '2', 'Background Citations': '6', 'Methods Citations': '6'}]"
WaveGrad: Estimating Gradients for Waveform Generation,['https://www.semanticscholar.org/paper/WaveGrad%3A-Estimating-Gradients-for-Waveform-Chen-Zhang/685af6d2bcdff7170574643b2c5ab4fbcc36f597'],"[{'Citations': 53, 'Highly Influential Citations': '13', 'Background Citations': '33', 'Methods Citations': '24', 'Results Citations': '3'}]"
SALD: Sign Agnostic Learning with Derivatives,['https://www.semanticscholar.org/paper/SAL%2B%2B%3A-Sign-Agnostic-Learning-with-Derivatives-Atzmon-Lipman/1ddaeace4549d3483428f5fdddbfd32ec773e787'],"[{'Citations': 16, 'Highly Influential Citations': '3', 'Background Citations': '9', 'Methods Citations': '7'}]"
Probing BERT in Hyperbolic Spaces,['https://www.semanticscholar.org/paper/Probing-BERT-in-Hyperbolic-Spaces-Chen-Fu/4072a2333682941d23755e9b7e1e3a6d899683c6'],"[{'Citations': 1, 'Background Citations': '1'}]"
Coping with Label Shift via Distributionally Robust Optimisation,['https://www.semanticscholar.org/paper/Coping-with-Label-Shift-via-Distributionally-Robust-Zhang-Menon/8246f0d3799290be5ed47254f6b88b601fa98230'],"[{'Citations': 1, 'Background Citations': '1'}]"
Self-Supervised Policy Adaptation during Deployment,['https://www.semanticscholar.org/paper/Self-Supervised-Policy-Adaptation-during-Deployment-Hansen-Sun/1606de851233825f610533aa7bba8c54712826f2'],"[{'Citations': 19, 'Highly Influential Citations': '6', 'Background Citations': '14', 'Methods Citations': '10', 'Results Citations': '3'}]"
DrNAS: Dirichlet Neural Architecture Search,['https://www.semanticscholar.org/paper/DrNAS%3A-Dirichlet-Neural-Architecture-Search-Chen-Wang/11b430ae91c5b7a3e51f86235818f74fd8b449ef'],"[{'Citations': 5, 'Methods Citations': '1'}]"
Mathematical Reasoning via Self-supervised Skip-tree Training,['https://www.semanticscholar.org/paper/Mathematical-Reasoning-via-Self-supervised-Training-Rabe-Lee/45bb43cdc35324fea4350ed335c500d4a5fd6ef5'],"[{'Citations': 6, 'Background Citations': '4', 'Methods Citations': '1'}]"
The Traveling Observer Model: Multi-task Learning Through Spatial Variable Embeddings,['https://www.semanticscholar.org/paper/The-Traveling-Observer-Model%3A-Multi-task-Learning-Meyerson-Miikkulainen/090e15ad813a07b00215dcb74ac57a947716188c'],[{'Citations': 1}]
Are Neural Rankers still Outperformed by Gradient Boosted Decision Trees?,['https://www.semanticscholar.org/paper/Are-Neural-Rankers-still-Outperformed-by-Gradient-Qin-Yan/ed91feefa0b3de7155d510fbd527527068a71c8e'],"[{'Citations': 4, 'Background Citations': '4'}]"
Gradient Origin Networks,['https://www.semanticscholar.org/paper/Gradient-Origin-Networks-Bond-Taylor-Willcocks/0cf5e829a745058a84ea29b8827ac7acb3f66e61'],"[{'Citations': 1, 'Background Citations': '1'}]"
Improving Transformation Invariance in Contrastive Representation Learning,['https://www.semanticscholar.org/paper/Improving-Transformation-Invariance-in-Contrastive-Foster-Pukdee/0c8ba0601123e7b5e0c73b68789405fd79705ccd'],"[{'Citations': 4, 'Background Citations': '2'}]"
Representation Learning via Invariant Causal Mechanisms,['https://www.semanticscholar.org/paper/Representation-Learning-via-Invariant-Causal-Mitrovic-McWilliams/57835c5ad5424f94ee75901c3113730f3900e656'],"[{'Citations': 19, 'Highly Influential Citations': '2', 'Background Citations': '11', 'Methods Citations': '9'}]"
WaNet - Imperceptible Warping-based Backdoor Attack,['https://www.semanticscholar.org/paper/WaNet-Imperceptible-Warping-based-Backdoor-Attack-Nguyen-Tran/1a86bcb3e1dd3c58d9dd0358a126e3f94d7b139e'],"[{'Citations': 3, 'Background Citations': '1', 'Methods Citations': '2'}]"
Bowtie Networks: Generative Modeling for Joint Few-Shot Recognition and Novel-View Synthesis,['https://www.semanticscholar.org/paper/Bowtie-Networks%3A-Generative-Modeling-for-Joint-and-Bao-Wang/98297bece690c0460f6d01fbb1131389a36df049'],"[{'Citations': 3, 'Methods Citations': '2'}]"
Enforcing robust control guarantees within neural network policies,['https://www.semanticscholar.org/paper/Enforcing-robust-control-guarantees-within-neural-Donti-Roderick/7915568a86a196c06bb70fb98b3bc076a5a18b8d'],"[{'Citations': 10, 'Background Citations': '4', 'Methods Citations': '3'}]"
Stabilized Medical Image Attacks,['https://www.semanticscholar.org/paper/Stabilized-Medical-Image-Attacks-Qi-Gong/b7ac3263c9acd53f2699e5872cba156c353e9772'],[{'Citations': 2}]
Hopper: Multi-hop Transformer for Spatiotemporal Reasoning,['https://www.semanticscholar.org/paper/Hopper%3A-Multi-hop-Transformer-for-Spatiotemporal-Zhou-Kadav/cab65b1c4b3dbddee7be6a7a9f764629b020882e'],"[{'Citations': 3, 'Background Citations': '1'}]"
