title,link,info
Support Regularized Sparse Coding and Its Fast Encoder,['https://www.semanticscholar.org/paper/Support-Regularized-Sparse-Coding-and-Its-Fast-Yang-Yu/d580cf2cf9493b67d08fa8b2300f3bbc9ed864b7'],"[{'Citations': 1, 'Highly Influential Citations': '1', 'Background Citations': '1', 'Methods Citations': '1'}]"
Stochastic Neural Networks for Hierarchical Reinforcement Learning,['https://www.semanticscholar.org/paper/Stochastic-Neural-Networks-for-Hierarchical-Florensa-Duan/3deecaee4ec1a37de3cb10420eaabff067669e17'],"[{'Citations': 228, 'Highly Influential Citations': '22', 'Background Citations': '155', 'Methods Citations': '65', 'Results Citations': '2'}]"
Combining policy gradient and Q-learning,"[""https://www.semanticscholar.org/paper/Combining-policy-gradient-and-Q-learning-O'Donoghue-Munos/5592edb72f1b0dea936ff8baa5ce81fd136b6f59""]","[{'Citations': 98, 'Highly Influential Citations': '5', 'Background Citations': '40', 'Methods Citations': '40', 'Results Citations': '1'}]"
Recurrent Environment Simulators,['https://www.semanticscholar.org/paper/Recurrent-Environment-Simulators-Chiappa-Racani%C3%A8re/bb430ec2f25e4a1513073a2a4098cbb942c2e3e0'],"[{'Citations': 137, 'Highly Influential Citations': '10', 'Background Citations': '85', 'Methods Citations': '44', 'Results Citations': '4'}]"
Multi-Agent Cooperation and the Emergence of (Natural) Language,['https://www.semanticscholar.org/paper/Multi-Agent-Cooperation-and-the-Emergence-of-Lazaridou-Peysakhovich/f91d1db0fa2ac12e0262a8f5e6a371da29a3c100'],"[{'Citations': 247, 'Highly Influential Citations': '23', 'Background Citations': '181', 'Methods Citations': '31', 'Results Citations': '10'}]"
Sigma Delta Quantized Networks,"[""https://www.semanticscholar.org/paper/Sigma-Delta-Quantized-Networks-O'Connor-Welling/6fd4b90193efbd0922554672abb52fa1886f607f""]","[{'Citations': 16, 'Background Citations': '6', 'Methods Citations': '7'}]"
Semi-supervised deep learning by metric embedding,['https://www.semanticscholar.org/paper/Semi-supervised-deep-learning-by-metric-embedding-Hoffer-Ailon/f2546d4762610b425bd38a68026a24a517785fd2'],"[{'Citations': 24, 'Highly Influential Citations': '2', 'Background Citations': '13', 'Methods Citations': '10'}]"
Adversarial Feature Learning,['https://www.semanticscholar.org/paper/Adversarial-Feature-Learning-Donahue-Kr%C3%A4henb%C3%BChl/1db6e3078597386ac4222ba6c3f4f61b61f53539'],"[{'Citations': 1161, 'Highly Influential Citations': '160', 'Background Citations': '645', 'Methods Citations': '404', 'Results Citations': '38'}]"
Learning Visual Servoing with Deep Features and Fitted Q-Iteration,['https://www.semanticscholar.org/paper/Learning-Visual-Servoing-with-Deep-Features-and-Lee-Levine/a82201136fd3e835fbe240368047feeed62a084e'],"[{'Citations': 47, 'Background Citations': '17', 'Methods Citations': '18'}]"
Learning End-to-End Goal-Oriented Dialog,['https://www.semanticscholar.org/paper/Learning-End-to-End-Goal-Oriented-Dialog-Bordes-Weston/f81be44000814e7bcb12ae04b4e2d9c01b6515b3'],"[{'Citations': 593, 'Highly Influential Citations': '88', 'Background Citations': '395', 'Methods Citations': '146', 'Results Citations': '21'}]"
Learning Graphical State Transitions,['https://www.semanticscholar.org/paper/Learning-Graphical-State-Transitions-Johnson/edbc873a248768a626ef2bc57b3d1eff30de0e11'],"[{'Citations': 77, 'Highly Influential Citations': '6', 'Background Citations': '29', 'Methods Citations': '27'}]"
Revisiting Classifier Two-Sample Tests,['https://www.semanticscholar.org/paper/Revisiting-Classifier-Two-Sample-Tests-Lopez-Paz-Oquab/cfec1e2e670bc5de1a0621f66eaed7abb56387f3'],"[{'Citations': 156, 'Highly Influential Citations': '16', 'Background Citations': '60', 'Methods Citations': '64', 'Results Citations': '4'}]"
Mollifying Networks,['https://www.semanticscholar.org/paper/Mollifying-Networks-G%C3%BCl%C3%A7ehre-Moczulski/b9728a8279c12f93fff089b6fac96afd2d3bab04'],"[{'Citations': 30, 'Highly Influential Citations': '5', 'Background Citations': '19', 'Methods Citations': '6'}]"
Introspection:Accelerating Neural Network Training By Learning Weight Evolution,['https://www.semanticscholar.org/paper/Introspection%3A-Accelerating-Neural-Network-Training-Sinha-Sarkar/9bc3eaa4f816d186b9deac9ba980f278f85a1cd8'],"[{'Citations': 12, 'Highly Influential Citations': '1', 'Background Citations': '6', 'Methods Citations': '3', 'Results Citations': '1'}]"
Neural Program Lattices,['https://www.semanticscholar.org/paper/Neural-Program-Lattices-Li-Tarlow/15064b7e47b43a68b6661bc7c3eaaad207493191'],"[{'Citations': 26, 'Highly Influential Citations': '3', 'Background Citations': '21', 'Methods Citations': '4'}]"
Highway and Residual Networks learn Unrolled Iterative Estimation,['https://www.semanticscholar.org/paper/Highway-and-Residual-Networks-learn-Unrolled-Greff-Srivastava/535347e07b2ce5ac229349156db1e7bed0486b91'],"[{'Citations': 159, 'Highly Influential Citations': '10', 'Background Citations': '99', 'Methods Citations': '25', 'Results Citations': '7'}]"
Hadamard Product for Low-rank Bilinear Pooling,['https://www.semanticscholar.org/paper/Bilinear-Semi-Tensor-Product-Attention-(BSTPA)-for-Bai-Li/07e8b56bc2f996c269d6550c8ff0195171cd7215'],[{'Citations': 0}]
Machine Comprehension Using Match-LSTM and Answer Pointer,['https://www.semanticscholar.org/paper/Machine-Comprehension-Using-Match-LSTM-and-Answer-Wang-Jiang/ff1861b71eaedba46cb679bbe2c585dbe18f9b19'],"[{'Citations': 478, 'Highly Influential Citations': '72', 'Background Citations': '206', 'Methods Citations': '183', 'Results Citations': '8'}]"
Unsupervised Cross-Domain Image Generation,['https://www.semanticscholar.org/paper/Unsupervised-Cross-Domain-Image-Generation-Taigman-Polyak/04bd2907111855b9fde9413bb25b9788a4c03f26'],"[{'Citations': 658, 'Highly Influential Citations': '39', 'Background Citations': '353', 'Methods Citations': '181', 'Results Citations': '4'}]"
Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,['https://www.semanticscholar.org/paper/Tying-Word-Vectors-and-Word-Classifiers%3A-A-Loss-for-Inan-Khosravi/424aef7340ee618132cc3314669400e23ad910ba'],"[{'Citations': 304, 'Highly Influential Citations': '32', 'Background Citations': '118', 'Methods Citations': '152', 'Results Citations': '11'}]"
Making Neural Programming Architectures Generalize via Recursion,['https://www.semanticscholar.org/paper/Making-Neural-Programming-Architectures-Generalize-Cai-Shin/6b024162f81e8ff7aa34c3a43d601a912d012c78'],"[{'Citations': 116, 'Highly Influential Citations': '9', 'Background Citations': '81', 'Methods Citations': '37', 'Results Citations': '2'}]"
Variational Recurrent Adversarial Deep Domain Adaptation,['https://www.semanticscholar.org/paper/Variational-Recurrent-Adversarial-Deep-Domain-Purushotham-Carvalho/9c4f30fe94ce07a89eb9b1789b338064d5c44811'],"[{'Citations': 52, 'Highly Influential Citations': '8', 'Background Citations': '21', 'Methods Citations': '17'}]"
Data Noising as Smoothing in Neural Network Language Models,['https://www.semanticscholar.org/paper/Data-Noising-as-Smoothing-in-Neural-Network-Models-Xie-Wang/2d5069a99bfa0b47c095bbb5cefd6dba974f72a7'],"[{'Citations': 131, 'Highly Influential Citations': '13', 'Background Citations': '53', 'Methods Citations': '62', 'Results Citations': '3'}]"
Deep Probabilistic Programming,['https://www.semanticscholar.org/paper/Deep-Probabilistic-Programming-Tran-Hoffman/8e9532262bb862c62d2d011a93da014da2d97ee9'],"[{'Citations': 154, 'Highly Influential Citations': '14', 'Background Citations': '70', 'Methods Citations': '60', 'Results Citations': '1'}]"
Hierarchical Multiscale Recurrent Neural Networks,['https://www.semanticscholar.org/paper/Hierarchical-Multiscale-Recurrent-Neural-Networks-Chung-Ahn/65eee67dee969fdf8b44c87c560d66ad4d78e233'],"[{'Citations': 389, 'Highly Influential Citations': '57', 'Background Citations': '196', 'Methods Citations': '131', 'Results Citations': '15'}]"
Programming With a Differentiable Forth Interpreter,['https://www.semanticscholar.org/paper/Programming-with-a-Differentiable-Forth-Interpreter-Bosnjak-Rockt%C3%A4schel/68647069407a278d4adc343c6d5313dd0904788d'],"[{'Citations': 108, 'Highly Influential Citations': '7', 'Background Citations': '63', 'Methods Citations': '14', 'Results Citations': '1'}]"
Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,['https://www.semanticscholar.org/paper/Normalizing-the-Normalizers%3A-Comparing-and-Network-Ren-Liao/2a7564039c2eb69073aafe4b2363490de5b8e3c3'],"[{'Citations': 60, 'Highly Influential Citations': '2', 'Background Citations': '28', 'Methods Citations': '18'}]"
Learning through Dialogue Interactions by Asking Questions,['https://www.semanticscholar.org/paper/Learning-through-Dialogue-Interactions-by-Asking-Li-Miller/2685cab753e4c1e9ac6e68b28ad8e2e1f3673f73'],"[{'Citations': 70, 'Highly Influential Citations': '8', 'Background Citations': '47', 'Methods Citations': '16', 'Results Citations': '1'}]"
Third Person Imitation Learning,['https://www.semanticscholar.org/paper/Third-Person-Imitation-Learning-Stadie-Abbeel/2e1a1b9c2e8feeb31c6855292859bf94101e8382'],"[{'Citations': 156, 'Highly Influential Citations': '10', 'Background Citations': '93', 'Methods Citations': '40', 'Results Citations': '1'}]"
The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,['https://www.semanticscholar.org/paper/The-Concrete-Distribution%3A-A-Continuous-Relaxation-Maddison-Mnih/515a21e90117941150923e559729c59f5fdade1c'],"[{'Citations': 1289, 'Highly Influential Citations': '182', 'Background Citations': '394', 'Methods Citations': '852', 'Results Citations': '16'}]"
Pruning Convolutional Neural Networks for Resource Efficient Inference,['https://www.semanticscholar.org/paper/Pruning-Convolutional-Neural-Networks-for-Resource-Molchanov-Tyree/3db8730c203f88d7f08a6a99e8c02a077dc9b011'],"[{'Citations': 799, 'Highly Influential Citations': '99', 'Background Citations': '328', 'Methods Citations': '348', 'Results Citations': '19'}]"
Adaptive Feature Abstraction for Translating Video to Language,['https://www.semanticscholar.org/paper/Adaptive-Feature-Abstraction-for-Translating-Video-Pu-Min/2d692d14b4277e6ad00b9030ad3b68141b3bbc21'],"[{'Citations': 13, 'Background Citations': '7', 'Methods Citations': '1'}]"
Learning Recurrent Representations for Hierarchical Behavior Modeling,['https://www.semanticscholar.org/paper/Learning-recurrent-representations-for-hierarchical-Eyjolfsdottir-Branson/b530755b7d4e1ce03d96812f5e065c30eab8538c'],"[{'Citations': 30, 'Highly Influential Citations': '1', 'Background Citations': '17', 'Methods Citations': '10', 'Results Citations': '1'}]"
Generalizing Skills with Semi-Supervised Reinforcement Learning,['https://www.semanticscholar.org/paper/Generalizing-Skills-with-Semi-Supervised-Learning-Finn-Yu/4603f26093d64fc4107d3ec49667003f60210654'],"[{'Citations': 46, 'Highly Influential Citations': '1', 'Background Citations': '30', 'Methods Citations': '8'}]"
Entropy-SGD: Biasing Gradient Descent Into Wide Valleys,['https://www.semanticscholar.org/paper/Entropy-SGD%3A-Biasing-Gradient-Descent-Into-Wide-Chaudhari-Choroma%C5%84ska/b6583fe9c9dc52bb129aff4cefc60519349f3b4c'],"[{'Citations': 413, 'Highly Influential Citations': '58', 'Background Citations': '260', 'Methods Citations': '109', 'Results Citations': '17'}]"
Tree-structured decoding with doubly-recurrent neural networks,['https://www.semanticscholar.org/paper/Tree-structured-decoding-with-doubly-recurrent-Alvarez-Melis-Jaakkola/9c69926bdb72912725d20a55af7147f86bed01ae'],"[{'Citations': 81, 'Highly Influential Citations': '7', 'Background Citations': '38', 'Methods Citations': '27'}]"
A Compositional Object-Based Approach to Learning Physical Dynamics,['https://www.semanticscholar.org/paper/A-Compositional-Object-Based-Approach-to-Learning-Chang-Ullman/a1786540a4e15f0757e1b84a02f98ed436a969e0'],"[{'Citations': 279, 'Highly Influential Citations': '19', 'Background Citations': '187', 'Methods Citations': '48', 'Results Citations': '4'}]"
"Attend, Adapt and Transfer: Attentive Deep Architecture for Adaptive Transfer from multiple sources in the same domain",['https://www.semanticscholar.org/paper/Attend%2C-Adapt-and-Transfer%3A-Attentive-Deep-for-from-Rajendran-Srinivas/8bada64d0b04a66165b464a51c29f61e1f474f2a'],"[{'Citations': 27, 'Highly Influential Citations': '3', 'Background Citations': '16', 'Methods Citations': '6', 'Results Citations': '2'}]"
Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,['https://www.semanticscholar.org/paper/Multilayer-Recurrent-Network-Models-of-Primate-Cell-Batty-Merel/2f8bed08cef7b777da9273f483461ebf4f2e0c63'],"[{'Citations': 44, 'Highly Influential Citations': '1', 'Background Citations': '18', 'Methods Citations': '12'}]"
LR-GAN: Layered Recursive Generative Adversarial Networks for Image Generation,['https://www.semanticscholar.org/paper/LR-GAN%3A-Layered-Recursive-Generative-Adversarial-Yang-Kannan/c789f8e3f40f57335aef2565f4d2bac69d2941d8'],"[{'Citations': 158, 'Highly Influential Citations': '12', 'Background Citations': '69', 'Methods Citations': '41', 'Results Citations': '9'}]"
Learning to Optimize,['https://www.semanticscholar.org/paper/Learning-to-Optimize%3A-Training-Deep-Neural-Networks-Sun-Chen/0a632969d840fccefc724b01597d14807ab79092'],"[{'Citations': 215, 'Highly Influential Citations': '42', 'Background Citations': '116', 'Methods Citations': '100', 'Results Citations': '4'}]"
Variational Lossy Autoencoder,['https://www.semanticscholar.org/paper/Variational-Lossy-Autoencoder-Chen-Kingma/590c9a1ff422b03477f7830b20609f212c85aa13'],"[{'Citations': 447, 'Highly Influential Citations': '80', 'Background Citations': '279', 'Methods Citations': '156', 'Results Citations': '19'}]"
Emergence of foveal image sampling from learning to attend in visual scenes,['https://www.semanticscholar.org/paper/Emergence-of-foveal-image-sampling-from-learning-to-Cheung-Weiss/6d49a7ad76e779df812bda5c4b037a0b9d6847be'],"[{'Citations': 22, 'Background Citations': '11', 'Methods Citations': '4'}]"
Words or Characters? Fine-grained Gating for Reading Comprehension,['https://www.semanticscholar.org/paper/Words-or-Characters-Fine-grained-Gating-for-Reading-Yang-Dhingra/b7ffc8f44f7dafd7f51e4e7500842ec406b8e239'],"[{'Citations': 90, 'Highly Influential Citations': '8', 'Background Citations': '40', 'Methods Citations': '22', 'Results Citations': '3'}]"
Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,['https://www.semanticscholar.org/paper/Transfer-Learning-for-Sequence-Tagging-with-Yang-Salakhutdinov/189e6bb7523733c4e524214b9e6ae92d4ed50dac'],"[{'Citations': 255, 'Highly Influential Citations': '39', 'Background Citations': '146', 'Methods Citations': '78', 'Results Citations': '9'}]"
Bidirectional Attention Flow for Machine Comprehension,['https://www.semanticscholar.org/paper/Bidirectional-Attention-Flow-for-Machine-Seo-Kembhavi/3a7b63b50c64f4ec3358477790e84cbd6be2a0b4'],"[{'Citations': 1482, 'Highly Influential Citations': '372', 'Background Citations': '707', 'Methods Citations': '855', 'Results Citations': '45'}]"
Query-Reduction Networks for Question Answering,['https://www.semanticscholar.org/paper/Query-Reduction-Networks-for-Question-Answering-Seo-Min/4bf7edee5a4c4cfdbdd43a607c402420129fa277'],"[{'Citations': 95, 'Highly Influential Citations': '23', 'Background Citations': '64', 'Methods Citations': '36', 'Results Citations': '6'}]"
Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,['https://www.semanticscholar.org/paper/Do-Deep-Convolutional-Nets-Really-Need-to-be-Deep-Urban-Geras/def52f9e3650ec4e9cc18b3e316f48e9bf046adf'],"[{'Citations': 156, 'Highly Influential Citations': '10', 'Background Citations': '77', 'Methods Citations': '29', 'Results Citations': '6'}]"
Recurrent Hidden Semi-Markov Model,['https://www.semanticscholar.org/paper/Early-Recognition-of-Driving-Intention-for-Lane-on-Liu-Xu/0d1a8b2d4a1096d0c5b4ac3f125130408bee78cc'],"[{'Citations': 2, 'Background Citations': '1'}]"
Lie-Access Neural Turing Machines,['https://www.semanticscholar.org/paper/Lie-Access-Neural-Turing-Machines-Yang-Rush/15778857f5b4de361dffa3fd156a269184dd2f9e'],"[{'Citations': 2, 'Methods Citations': '2'}]"
What does it take to generate natural textures?,['https://www.semanticscholar.org/paper/What-does-it-take-to-generate-natural-textures-Ustyuzhaninov-Brendel/abdd228205f0878ee0a426d8ef94ab15db4a07e8'],"[{'Citations': 23, 'Highly Influential Citations': '6', 'Background Citations': '10', 'Methods Citations': '11', 'Results Citations': '2'}]"
Tracking the World State with Recurrent Entity Networks,['https://www.semanticscholar.org/paper/Tracking-the-World-State-with-Recurrent-Entity-Henaff-Weston/033dd6cf61a6017e9aa9b46068d3c89082849cf3'],"[{'Citations': 165, 'Highly Influential Citations': '37', 'Background Citations': '96', 'Methods Citations': '67', 'Results Citations': '13'}]"
Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning,['https://www.semanticscholar.org/paper/Training-Agent-for-First-Person-Shooter-Game-with-Wu-Tian/add7b8b65355d5408a1ffb93a94b0ae688806bc4'],"[{'Citations': 134, 'Highly Influential Citations': '9', 'Background Citations': '68', 'Methods Citations': '39', 'Results Citations': '3'}]"
Deep Biaffine Attention for Neural Dependency Parsing,['https://www.semanticscholar.org/paper/Deep-Biaffine-Attention-for-Neural-Dependency-Dozat-Manning/8cbef23c9ee2ae7c35cc691a0c1d713a6377c9f2'],"[{'Citations': 640, 'Highly Influential Citations': '85', 'Background Citations': '181', 'Methods Citations': '280', 'Results Citations': '17'}]"
Deep Information Propagation,['https://www.semanticscholar.org/paper/Deep-Information-Propagation-Schoenholz-Gilmer/4fdc7df2c737141a1bf5aec27a438b77d01f8af0'],"[{'Citations': 194, 'Highly Influential Citations': '41', 'Background Citations': '126', 'Methods Citations': '52', 'Results Citations': '23'}]"
Pruning Filters for Efficient ConvNets,['https://www.semanticscholar.org/paper/Pruning-Filters-for-Efficient-ConvNets-Li-Kadav/c2a1cb1612ba21e067a5c3ba478a8d73b796b77a'],"[{'Citations': 1705, 'Highly Influential Citations': '344', 'Background Citations': '895', 'Methods Citations': '874', 'Results Citations': '97'}]"
SGDR: Stochastic Gradient Descent with Warm Restarts,['https://www.semanticscholar.org/paper/SGDR%3A-Stochastic-Gradient-Descent-with-Warm-Loshchilov-Hutter/b022f2a277a4bf5f42382e86e4380b96340b9e86'],"[{'Citations': 1744, 'Highly Influential Citations': '192', 'Background Citations': '305', 'Methods Citations': '946', 'Results Citations': '11'}]"
Program Synthesis for Character Level Language Modeling,['https://www.semanticscholar.org/paper/Program-Synthesis-for-Character-Level-Language-Bielik-Raychev/de7e3537d974c2ca28e3ca130d531e5eb23eb79f'],"[{'Citations': 7, 'Background Citations': '4', 'Methods Citations': '1'}]"
Learning Invariant Feature Spaces to Transfer Skills with Reinforcement Learning,['https://www.semanticscholar.org/paper/Learning-Invariant-Feature-Spaces-to-Transfer-with-Gupta-Devin/b9f8a1a9a5aec3dcdd155c4594f25274f6418e11'],"[{'Citations': 149, 'Highly Influential Citations': '12', 'Background Citations': '92', 'Methods Citations': '30', 'Results Citations': '3'}]"
On the Quantitative Analysis of Decoder-Based Generative Models,['https://www.semanticscholar.org/paper/On-the-Quantitative-Analysis-of-Decoder-Based-Wu-Burda/858dc7408c27702ec42778599fc8d11f73ef3f76'],"[{'Citations': 187, 'Highly Influential Citations': '26', 'Background Citations': '83', 'Methods Citations': '71', 'Results Citations': '10'}]"
Tighter bounds lead to improved classifiers,['https://www.semanticscholar.org/paper/Tighter-bounds-lead-to-improved-classifiers-Roux/0020a29cd42db351fbfb3c8bb0fd6fa597d67b76'],"[{'Citations': 6, 'Background Citations': '4', 'Methods Citations': '2'}]"
Topology and Geometry of Half-Rectified Network Optimization,['https://www.semanticscholar.org/paper/Topology-and-Geometry-of-Half-Rectified-Network-Freeman-Bruna/0f94591cc05e6f75c21749d507ef58d204f63b7d'],"[{'Citations': 147, 'Highly Influential Citations': '11', 'Background Citations': '88', 'Methods Citations': '9', 'Results Citations': '8'}]"
Quasi-Recurrent Neural Networks,['https://www.semanticscholar.org/paper/Quasi-Recurrent-Neural-Networks-Bradbury-Merity/2d876ed1dd2c58058d7197b734a8e4d349b8f231'],"[{'Citations': 268, 'Highly Influential Citations': '47', 'Background Citations': '118', 'Methods Citations': '109', 'Results Citations': '5'}]"
Pointer Sentinel Mixture Models,['https://www.semanticscholar.org/paper/Pointer-Sentinel-Mixture-Models-Merity-Xiong/efbd381493bb9636f489b965a2034d529cd56bcd'],"[{'Citations': 785, 'Highly Influential Citations': '164', 'Background Citations': '240', 'Methods Citations': '461', 'Results Citations': '10'}]"
EPOpt: Learning Robust Neural Network Policies Using Model Ensembles,['https://www.semanticscholar.org/paper/EPOpt%3A-Learning-Robust-Neural-Network-Policies-Rajeswaran-Ghotra/9228fa3b363229780da4cb1d258942e0c13c2947'],"[{'Citations': 209, 'Highly Influential Citations': '26', 'Background Citations': '124', 'Methods Citations': '75', 'Results Citations': '4'}]"
Steerable CNNs,['https://www.semanticscholar.org/paper/General-E(2)-Equivariant-Steerable-CNNs-Weiler-Cesa/48d5588afd24c7a12ae54d6ef13008ee3b7a0e8c'],"[{'Citations': 78, 'Highly Influential Citations': '15', 'Background Citations': '45', 'Methods Citations': '37', 'Results Citations': '4'}]"
Learning to Perform Physics Experiments via Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Learning-to-Perform-Physics-Experiments-via-Deep-Denil-Agrawal/3f3a8cf93c1e006616c38d6c34fbedf8eb0a50cc'],"[{'Citations': 61, 'Background Citations': '35', 'Methods Citations': '7'}]"
The Neural Noisy Channel,['https://www.semanticscholar.org/paper/The-Neural-Noisy-Channel-Yu-Blunsom/d19b712f90cde698cc96ebd5fe291b410e3f0f9c'],"[{'Citations': 50, 'Highly Influential Citations': '5', 'Background Citations': '27', 'Methods Citations': '22', 'Results Citations': '3'}]"
Learning to Compose Words into Sentences with Reinforcement Learning,['https://www.semanticscholar.org/paper/Learning-to-Compose-Words-into-Sentences-with-Yogatama-Blunsom/599f7863721d542dcef2da49b41d82b21e4f80b3'],"[{'Citations': 121, 'Highly Influential Citations': '21', 'Background Citations': '84', 'Methods Citations': '42', 'Results Citations': '6'}]"
Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,['https://www.semanticscholar.org/paper/Semi-supervised-Knowledge-Transfer-for-Deep-from-Papernot-Abadi/e70b9a38fcf8373865dd6e7b45e45cca7ff2eaa9'],"[{'Citations': 480, 'Highly Influential Citations': '75', 'Background Citations': '248', 'Methods Citations': '142', 'Results Citations': '10'}]"
Diet Networks: Thin Parameters for Fat Genomics,['https://www.semanticscholar.org/paper/Diet-Networks%3A-Thin-Parameters-for-Fat-Genomics-Romero-Carrier/a36d5dee672e66b5f4db9e9df7498ef89b4b9cf5'],"[{'Citations': 35, 'Highly Influential Citations': '3', 'Background Citations': '14', 'Methods Citations': '13', 'Results Citations': '1'}]"
Autoencoding Variational Inference For Topic Models,['https://www.semanticscholar.org/paper/Autoencoding-Variational-Inference-For-Topic-Models-Srivastava-Sutton/0c25e5f544167840756950e0ff3edd238a19cfd1'],"[{'Citations': 222, 'Highly Influential Citations': '62', 'Background Citations': '96', 'Methods Citations': '111', 'Results Citations': '7'}]"
Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,['https://www.semanticscholar.org/paper/Deep-Variational-Bayes-Filters%3A-Unsupervised-of-Raw-Karl-S%C3%B6lch/6768ed8d51d1eb0d06f9726a42cef2f17a401f65'],"[{'Citations': 204, 'Highly Influential Citations': '22', 'Background Citations': '99', 'Methods Citations': '74', 'Results Citations': '7'}]"
Why Deep Neural Networks for Function Approximation?,['https://www.semanticscholar.org/paper/Why-Deep-Neural-Networks-for-Function-Approximation-Liang-Srikant/87524c2bb725f967b7fac73442d6412b43d422d1'],"[{'Citations': 225, 'Highly Influential Citations': '17', 'Background Citations': '129', 'Methods Citations': '22', 'Results Citations': '9'}]"
