year,institution,csranking,ranking
2017,Indian Institute of Technology Madras,-1,472
2017,University of Innsbruck,-1,307
2017,University of California at Merced,-1,-1
2017,University of Toronto,22,22
2017,The Hong Kong Polytechnic University,92,192
2017,Northwestern University,46,20
2017,Bar-Ilan University,67,489
2017,Lunit Inc.,-1,-1
2017,Lehigh University,149,441
2017,Medical University of Graz,-1,452
2017,Beijing Jiaotong University,-1,-1
2017,Toyota Technological Institute at Chicago,-1,380
2017,Harvey Mudd College,-1,-1
2017,Intel,-1,-1
2017,Indiana University,67,151
2017,babylon health,-1,-1
2017,University of Houston,149,365
2017,LIMSI-CNRS / Université Paris-Sud,-1,-1
2017,Brown University,92,51
2017,University of Virginia,46,123
2017,"University of California, Irvine",-1,99
2017,NVIDIA,-1,-1
2017,"University of Texas, Arlington",-1,-1
2017,Higher School of Economics,-1,-1
2017,Freie Universität Berlin,286,-1
2017,"University of Massachusetts, Amherst",15,166
2017,Eastern Washington University,-1,-1
2017,Laval university,-1,265
2017,"University of Maryland, College Park",11,67
2017,Dartmouth College,149,82
2017,Vicarious Inc.,-1,-1
2017,SUN YAT-SEN UNIVERSITY,-1,414
2017,UC Santa Barbara,-1,-1
2017,University of Michigan,11,21
2017,Columbia University,31,16
2017,Université de Sherbrooke,286,567
2017,"Centre for Integrative Neuroscience, AG Bethge",-1,-1
2017,National University of Singapore,15,24
2017,Rutgers University,22,-1
2017,Princeton University,46,7
2017,Birkbeck,149,251
2017,University of Arizona,149,156
2017,"Goldsmiths, University of London",286,300
2017,University of Chicago,46,10
2017,Samsung,-1,-1
2017,US Naval Research Lab,-1,-1
2017,KU Leuven,149,40
2017,Seoul National University,46,72
2017,Federal University of Rio de Janeiro - UFRJ,-1,693
2017,ENS Paris-Saclay,-1,-1
2017,Johns Hopkins University,46,17
2017,Tampere University of Technology,-1,552
2017,Microsoft,-1,-1
2017,LIP6,-1,-1
2017,Universität Freiburg,-1,-1
2017,"Machine Learning Research Lab, Volkswagen Group",-1,-1
2017,CNRS university Toulon,-1,-1
2017,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",31,-1
2017,York University,149,316
2017,TU Berlin,92,-1
2017,University of Goettingen,286,112
2017,Hong Kong University of Science and Technology,-1,48
2017,UMass,-1,-1
2017,International Business Machines,-1,-1
2017,University of Waterloo,31,174
2017,University of Edinburgh,31,27
2017,"Computer Vision Center, Universitat Autònoma de Barcelona",-1,-1
2017,Virginia Tech,67,-1
2017,Huawei Technologies Ltd.,-1,-1
2017,"University of Colorado, Colorado Springs",-1,-1
2017,Pennsylvania State University,31,-1
2017,University of Wroclaw,286,-1
2017,Boston College,149,212
2017,"California State University, Long Beach",-1,-1
2017,"University of Illinois, Urbana-Champaign",-1,-1
2017,KAIST,22,88
2017,"KTH Royal Institute of Technology, Stockholm, Sweden",149,160
2017,University of Amsterdam,92,63
2017,Politecnico di Milano,149,-1
2017,Google,-1,-1
2017,TAL Education Group,-1,-1
2017,Institute of Science and Technology Austria,-1,-1
2017,Mines ParisTech,-1,265
2017,University of Miami,-1,183
2017,"State University of New York, Buffalo",-1,-1
2017,Duke University,22,18
2017,Utrecht University,149,86
2017,"University of North Carolina, Chapel Hill",67,-1
2017,Bar Ilan University,67,489
2017,Austrian Research Institute for Artificial Intelligence,-1,-1
2017,Heriot-Watt University,149,429
2017,Aifounded,-1,-1
2017,Software Competence Center Hagenberg,-1,-1
2017,University of Montreal,92,103
2017,National Institute of Technology Karnataka,-1,-1
2017,The University of Adelaide,67,143
2017,SalesForce.com,-1,-1
2017,Amazon,-1,-1
2017,Univeristé Paris-Dauphine,-1,-1
2017,"Preferred Networks, Inc.",-1,-1
2017,R V College of Engineering,-1,-1
2017,University of Florida,149,135
2017,University of Guelph,286,398
2017,"University of Texas, Austin",-1,-1
2017,Insight Centre for Data Analytics,-1,-1
2017,"University of Washington, Seattle",5,25
2017,Weizmann Institute,92,-1
2017,TEKLIA,-1,-1
2017,University of Oxford,31,1
2017,Adobe Systems,-1,-1
2017,IDSIA,-1,-1
2017,"University of Massachusetts, Lowell",149,166
2017,Polytechnique Montreal,286,-1
2017,California Institute of Technology,92,2
2017,Twitter,-1,-1
2017,Aix Marseille Univ,-1,-1
2018,Korea Advanced Institute of Science and Technology,-1,95
2018,University of Trento,125,258
2018,University of Lorraine,-1,535
2018,Shanghai Jiao Tong University,39,188
2018,Queen Mary University London,-1,-1
2018,Enlitic,-1,-1
2018,Ohio University,377,627
2018,Nanyang Technological University,39,52
2018,University of Electronic Science and Technology of China,-1,843
2018,University Paris Descartes,-1,-1
2018,Imperial College London,49,8
2018,Georgia Institute of Technology,13,33
2018,Baidu,-1,-1
2018,Boston University,82,70
2018,Oregon State University,67,318
2018,POSTECH,125,137
2018,"Ecole Centrale Marseille, Computer Science Lab  - Aix Marseille University, Marseille - CNRS, France",-1,-1
2018,Harvard University,49,6
2018,Facebook AI Research,-1,-1
2018,Chegg,-1,-1
2018,Ulsan National Institute of Science and Technology,-1,230
2018,Stanford University,5,3
2018,Cornell University,5,19
2018,Universitat Politècnica de Catalunya,-1,-1
2018,Institut für Informatik,-1,-1
2018,"University of Illinois, Chicago",-1,-1
2018,Lyric Labs,-1,-1
2018,"University of California, Los Angeles",-1,15
2018,International Computer Science Institute,-1,-1
2018,Siemens Corporate Research,-1,-1
2018,NEC-Labs,-1,-1
2018,163,-1,-1
2018,University of Technology Sydney,67,216
2018,Taobao,-1,-1
2018,Universidad Carlos III de Madrid,-1,-1
2018,West Virginia University,224,-1
2018,"Universidade Federal de Pernambuco, Federal University of Pernambuco",-1,958
2018,Janelia Farm Research Campus- HHMI,-1,-1
2018,Swiss Federal Institute of Technology Lausanne,-1,-1
2018,"Qualcomm Inc, QualComm",-1,-1
2018,General Motors,-1,-1
2018,University of Applied Sciences Western Switzerland,-1,-1
2018,Facebook,-1,-1
2018,"University of North Carolina, Charlotte",67,-1
2018,Johannes Kepler University Linz,-1,-1
2018,A*STAR,-1,-1
2018,Stevens Institute of Technology,162,512
2018,Williams College,-1,-1
2018,"University of Minnesota, Minneapolis",67,56
2018,University of Calgary,162,210
2018,Universitat Autonoma de Barcelona,-1,-1
2018,INRIA,-1,-1
2018,Max-Planck Institute,-1,-1
2018,"Institute of Computing, UFF",377,-1
2018,Toutiao AI Lab,-1,-1
2018,TU Kaiserslautern,162,-1
2018,University of Basel,377,95
2018,New York University,21,27
2018,"University of California, Riverside",-1,197
2018,Lehigh University,224,533
2018,Intel,-1,-1
2018,babylon health,-1,-1
2018,Volvo Trucks,-1,-1
2018,NVIDIA,-1,-1
2018,Cylance,-1,-1
2018,University of Iowa,162,223
2018,Laval university,-1,265
2018,Dartmouth College,162,89
2018,IT University of Copenhagen,162,109
2018,Calico Labs,-1,-1
2018,University of Victoria,162,346
2018,Entlic,-1,-1
2018,Syracuse University,224,275
2018,Columbia University,21,14
2018,Eindhoven University of Technology,-1,141
2018,Samsung,-1,-1
2018,Microsoft,-1,-1
2018,IIT Kanpur,125,-1
2018,"Machine Learning Research Lab, Volkswagen Group",-1,-1
2018,Yildiz Technical University,-1,904
2018,University of Waterloo,30,207
2018,Huawei Technologies Ltd.,-1,-1
2018,Boston College,224,309
2018,SRI International,-1,-1
2018,"University of Illinois, Urbana-Champaign",-1,-1
2018,Aiperf,-1,-1
2018,"KTH Royal Institute of Technology, Stockholm, Sweden",162,173
2018,126,-1,-1
2018,"Instituto de Telecomunicações, Portugal",-1,-1
2018,TAL Education Group,-1,-1
2018,BenevolentAI,-1,-1
2018,The University of Melbourne,67,32
2018,RISE Research Institutes of Sweden,-1,-1
2018,Institute of Science and Technology Austria,-1,-1
2018,General Electric,-1,-1
2018,Duke University,39,17
2018,Centrum voor Wiskunde en Informatica,-1,-1
2018,Chalmers University,-1,240
2018,Borealis AI,-1,-1
2018,Aediworks,-1,-1
2018,Aifounded,-1,-1
2018,Academia Sinica,-1,-1
2018,Ecole Normale Supérieure de Lyon,162,182
2018,360,-1,-1
2018,University of Florida,162,143
2018,National Chiao Tung University,162,452
2018,Bilkent University,377,426
2018,Adobe Systems,-1,-1
2018,IDSIA,-1,-1
2018,YiTu Technology co. ltd,-1,-1
2018,Uber,-1,-1
2018,QQ.com,-1,-1
2018,Athens University of Economics and Business,-1,565
2018,Tufts University,162,169
2018,McGill University,95,42
2018,Smerity,-1,-1
2018,RWTH Aachen University,125,79
2018,Technicolor,-1,-1
2018,French National Center for Scientific Research,-1,-1
2018,"Concordia University, Montreal",377,560
2018,Rice University,95,86
2018,Michigan State University,125,84
2018,Swiss Federal Institute of Technology,-1,-1
2018,University of Oldenburg,377,-1
2018,Massachusetts Institute of Technology,8,5
2018,University of the Basque Country,-1,613
2018,Oath,-1,-1
2018,Télécom Bretagne,-1,-1
2018,University of Alberta,95,119
2018,The Chinese University of Hong Kong,377,40
2018,"University of Nebraska, Lincoln",224,337
2018,Skolkovo Institute of Science and Technology,-1,-1
2018,Clemson University,162,-1
2018,Ecole Normale Superieure,95,-1
2018,A9,-1,-1
2018,Sandia National Laboratories,-1,-1
2018,Technical University of Munich,-1,41
2018,Università della Svizzera Italiana,162,-1
2018,Yandex,-1,-1
2018,"Institue for Advanced Study, Princeton",-1,-1
2018,Purdue University,27,60
2018,"University of California, San Diego",-1,31
2018,Xidian University,-1,917
2018,North Carolina A&T State University,-1,-1
2018,Renishaw,-1,-1
2018,CERTH/ITI,-1,-1
2018,University of South Australia,-1,248
2018,Institut de Recherche et Coordination Acoustique/Musique,-1,-1
2018,University of Rochester,95,153
2018,Bucknell University,-1,-1
2018,Texas A&M,49,160
2018,Jagiellonian University,-1,695
2018,Toronto University,-1,-1
2018,Hra,-1,683
2018,Hotmai,-1,-1
2018,University of Kentucky,162,346
2018,University of Rhode Island,-1,-1
2018,Jet Propulsion Laboratory,-1,-1
2018,Université Côte d'Azur,-1,-1
2018,Naver Labs Europe,-1,-1
2018,UCL,224,16
2018,"Ricoh Company, Ltd.",-1,-1
2018,"University of Colorado, Boulder",57,100
2018,"University of Colorado, Denver",-1,286
2018,Fujitsu Laboratories Ltd.,-1,-1
2018,Kyoto University,162,74
2018,Karlsruhe Institute of Technology,162,133
2018,"University of Maryland, College Park",12,69
2018,Aston University,82,358
2018,Alexandria University,-1,896
2018,Beijing University of Post and Telecommunication,-1,-1
2018,SUN YAT-SEN UNIVERSITY,-1,352
2018,Drexel University,224,392
2018,University of Michigan,10,21
2018,National University of Singapore,15,22
2018,Rutgers University,30,-1
2018,University of Chicago,57,9
2018,Ben Gurion University of the Negev,162,627
2018,ENS Paris-Saclay,-1,-1
2018,covariant.ai,-1,-1
2018,University of Essex,224,280
2018,LIP6,377,-1
2018,TU Berlin,125,-1
2018,IRISA,-1,-1
2018,ColorfulClouds Tech.,-1,-1
2018,"Computer Vision Center, Universitat Autònoma de Barcelona",-1,-1
2018,"University of Colorado, Colorado Springs",-1,-1
2018,"California State University, Long Beach",-1,-1
2018,JD AI Research,-1,-1
2018,University of Siegen,377,431
2018,Aselsan.tr,-1,-1
2018,Università degli Studi di Genova,-1,-1
2018,Xi'an Jiaotong University,-1,565
2018,"State University of New York, Buffalo",-1,-1
2018,Thales,-1,-1
2018,"University of North Carolina, Chapel Hill",67,-1
2018,DeepLab,-1,-1
2018,Heriot-Watt University,224,363
2018,The University of Adelaide,95,134
2018,University of Bern,224,105
2018,Amazon,-1,-1
2018,George Washington University,224,226
2018,Dalhousie University,224,289
2018,"State University of New York, Stony Brook",-1,-1
2018,Alfred Health,-1,-1
2018,The University of Hong Kong,95,40
2018,"University of Washington, Seattle",8,25
2018,Weizmann Institute,95,-1
2018,Idiap Research Institute,-1,-1
2018,Panasonic Corp,-1,-1
2018,Tencent AI Lab,-1,-1
2018,Istituto Italiano di Tecnologia,-1,-1
2018,Graz University of Technology,95,443
2018,Fraunhofer IIS,-1,-1
2018,Institute for Cognitive Neuroscience/ Inst. for Neuroinformatics,-1,-1
2018,University of California Berkeley,-1,18
2018,College of William and Mary,224,-1
2018,Saarland University,82,-1
2018,Simon Fraser University,49,253
2018,Goethe University,224,293
2018,"Technion, Technion",21,-1
2018,University of East Anglia,-1,188
2018,University of Leeds,224,139
2018,"Tsinghua University, Tsinghua University",5,30
2018,The University of Tsukuba,95,468
2018,University of Sydney,67,61
2018,University of Southern California,27,66
2018,University of Notre Dame,125,150
2018,Loyola Marymount University,-1,-1
2018,"Washington University, St. Louis",-1,-1
2018,Singapore Management University,67,-1
2018,Beihang University,95,658
2018,CERN,-1,-1
2018,OpenAI,-1,-1
2018,Institut national de la recherche scientifique,-1,-1
2018,Aalto University,125,190
2018,Calculationconsulting,-1,-1
2018,Grenoble Institute of Technology,-1,-1
2018,"Royal Holloway, University of London",125,195
2018,IMT Atlantique,-1,-1
2018,Bosch,-1,367
2018,University of British Columbia,67,34
2018,National Institute of Informatics,-1,-1
2018,University of Grenoble-Alpes,-1,-1
2018,Centrale Marseille,-1,-1
2018,Mohamed bin Zayed University of Artificial Intelligence,-1,-1
2018,University of York,224,137
2018,Icahn School of Medicine at Mount Sinai,-1,-1
2018,Pacific Northwest National Laboratory,-1,-1
2018,Monash University,82,80
2018,Technical University Munich,-1,-1
2018,German Research Center for AI,-1,-1
2018,Allen Institute for Artificial Intelligence,-1,-1
2018,Technical University of Denmark,-1,153
2018,Télécom ParisTech,-1,-1
2018,"University of Texas, Galveston",-1,-1
2018,The Hong Kong University of Science and Technology,-1,44
2018,NEAR,-1,-1
2018,"Cerebras Systems, Inc",-1,-1
2018,Indian Institute of Technology Madras,-1,625
2018,University of Toronto,21,22
2018,ICFO-Institut de Ciencies Fotoniques,-1,-1
2018,Taboola,-1,-1
2018,The Hong Kong Polytechnic University,125,182
2018,Beijing Jiaotong University,-1,854
2018,King's College London,162,36
2018,Toyota Technological Institute at Chicago,-1,-1
2018,University of Bonn,125,100
2018,Brown University,95,50
2018,Magic Leap,-1,-1
2018,"University of California, Irvine",-1,99
2018,Higher School of Economics,-1,-1
2018,Bayer Ag,-1,-1
2018,"University of Texas, Dallas",-1,-1
2018,Blue Prism,-1,-1
2018,Ohio State University,57,70
2018,UC Santa Barbara,-1,-1
2018,"Centre for Integrative Neuroscience, AG Bethge",-1,-1
2018,University of Arizona,224,161
2018,Princeton University,30,7
2018,US Naval Research Lab,-1,-1
2018,Rochester Institute of Technology,125,666
2018,University of Science and Technology of China,-1,132
2018,Meiji University,-1,978
2018,arm,57,244
2018,CNRS university Toulon,-1,-1
2018,Hong Kong University of Science and Technology,-1,44
2018,Osaro Inc.,-1,-1
2018,Indian Institute of Technology Hyderabad,-1,-1
2018,HCL America,-1,-1
2018,International Business Machines,-1,-1
2018,University of Edinburgh,30,27
2018,DeepMotion,-1,-1
2018,University of Osnabrück,377,-1
2018,Universidad Politécnica de Madrid,-1,-1
2018,Chukyo University,-1,904
2018,Pennsylvania State University,39,-1
2018,University of the Witwatersrand,-1,293
2018,University of Southampton,224,126
2018,Layer 6 AI,-1,-1
2018,University of Amsterdam,125,59
2018,New York Genome Center,-1,-1
2018,Bell Labs,-1,-1
2018,University of Bristol,125,76
2018,Bar Ilan University,82,456
2018,New York Institute of Technology,-1,-1
2018,University of Sheffield,162,104
2018,"Preferred Networks, Inc.",-1,-1
2018,University of Guelph,224,-1
2018,"University of Texas, Austin",-1,-1
2018,Upwork,-1,-1
2018,National Tsing Hua University,224,323
2018,1Qbit Information Technology,-1,-1
2018,RIKEN,-1,-1
2018,University of Oxford,39,1
2018,Santa Fe Institute,-1,-1
2018,University of Connecticut,224,324
2018,Carleton University,224,545
2018,Queens University,224,261
2018,"University of Massachusetts, Lowell",224,191
2018,University of Pennsylvania,15,10
2018,Hao-li,-1,-1
2018,Zhihu,-1,-1
2018,University of Ottawa,224,233
2018,"Blaise Pascal University, France",-1,565
2018,Snap Inc.,-1,-1
2018,Carnegie Mellon University,1,24
2018,METU,224,-1
2018,Yale University,82,12
2018,DeepMind,-1,-1
2018,University of Washington,8,25
2018,University of Pittsburgh,67,100
2018,Xiaomi,-1,-1
2018,ENSTA ParisTech,-1,-1
2018,Tel Aviv University,30,217
2018,University of Exeter,377,130
2018,Deakin University,-1,334
2018,Universidade do Estado do Rio de Janeiro,-1,-1
2018,"Institute for Infocomm Research, A*STAR",-1,-1
2018,Universidade Federal de Minas Gerais,-1,-1
2018,HEC Montreal,-1,-1
2018,KAUST,95,-1
2018,ASAPP Inc.,-1,-1
2018,"Disney Research, Disney",-1,-1
2018,Aignostics GmbH,-1,-1
2018,"University of Illinois, Urbana Champaign",-1,-1
2018,Ecole polytechnique,-1,115
2018,The University of Tokyo,57,45
2018,Honda Research Institute,-1,-1
2018,Hebrew University of Jerusalem,67,205
2018,Shandong University,125,569
2018,NoMagic,-1,-1
2018,DigitalGenius Ltd.,-1,-1
2018,Indian Institute of Technology Kharagpur,-1,506
2018,University of Zurich,125,136
2018,"Ecole Polytechnique, France",-1,-1
2018,Element AI,-1,-1
2018,"University of California, Davis",-1,54
2018,Horizon Robotics Inc.,-1,-1
2018,Carnegie-Mellon University,1,24
2018,Jacobs University Bremen,377,-1
2018,ENPC,-1,-1
2018,"Computer Science Lab  - Pierre and Marie Curie University, Paris, France",-1,123
2018,"Institute of Computing Technology, Chinese Academy of Sciences",30,-1
2018,University College London,49,-1
2018,Alibaba Group,-1,-1
2018,University of Haifa,162,608
2018,Peking University,14,27
2018,Infoblox,-1,-1
2018,Indian Institute of Technology Bombay,-1,367
2018,SK Telecom,-1,-1
2018,Itema,-1,-1
2018,University of Cambridge,82,2
2018,Habana Labs (Intel),-1,-1
2018,Gravity R&D,-1,-1
2018,Melamuds,-1,-1
2018,Petuum Inc.,-1,-1
2018,University of California at Merced,-1,-1
2018,Northwestern University,49,20
2018,Norges teknisk-naturvitenskapelige universitet,-1,-1
2018,"Heudiasyc, University of Technology of Compiègne, Université de technologie de Compiègne",-1,635
2018,AI Perf Eng,-1,-1
2018,Harvey Mudd College,-1,-1
2018,Indiana University,67,117
2018,University of Bretagne Sud,-1,-1
2018,Poznan University of Technology,-1,-1
2018,University of Virginia,57,113
2018,"University of Massachusetts, Amherst",21,191
2018,Renault,-1,-1
2018,University of Tuebingen,125,94
2018,Fudan University,67,116
2018,Raytheon,-1,-1
2018,"University of Geneva, Switzerland",-1,130
2018,Seoul National University,39,74
2018,Barcelona Supercomputing Center,-1,-1
2018,Johns Hopkins University,57,13
2018,Chinese Academy of Sciences,30,-1
2018,York University,162,350
2018,Universität Freiburg,-1,-1
2018,ETAS GmbH,-1,-1
2018,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",30,-1
2018,Advanced Digital Sciences Center,-1,-1
2018,Técnico Lisboa,-1,-1
2018,"LeapMind, Inc.",-1,-1
2018,ShanghaiTech University,224,-1
2018,Toyota Central R&D Labs. Inc.,-1,-1
2018,Thalesgroup,-1,-1
2018,The University of Waikato,377,393
2018,University of South Florida,224,255
2018,Aarhus University,82,109
2018,Google,-1,-1
2018,Innopeak Technology,-1,-1
2018,University of Central Florida,67,-1
2018,Rensselaer Polytechnic Institute,224,304
2018,University of Montreal,125,108
2018,Prowler.io,-1,-1
2018,SenseTime Group Limited,-1,-1
2018,SalesForce.com,-1,-1
2018,University of New Mexico,377,-1
2018,Cortexica Vision Systems,-1,-1
2018,Polytechnique Montreal,377,-1
2018,California Institute of Technology,125,3
2019,Keio University,285,627
2019,Korea Advanced Institute of Science and Technology,-1,95
2019,University of Trento,136,258
2019,Shanghai Jiao Tong University,36,188
2019,University of Chinese Academy of Sciences,31,-1
2019,Ohio University,285,627
2019,D-Wave Systems,-1,-1
2019,Olympus Corporation,-1,-1
2019,Nanyang Technological University,44,52
2019,University of Electronic Science and Technology of China,-1,843
2019,Kiel University,285,512
2019,Imperial College London,47,8
2019,Georgia Institute of Technology,13,33
2019,Baidu,-1,-1
2019,Boston University,77,70
2019,Ghent University,-1,107
2019,"Institute of High Performance Computing, Singapore, A*STAR",-1,-1
2019,Oregon State University,77,318
2019,Kakao,-1,-1
2019,POSTECH,136,137
2019,Harvard University,50,6
2019,Facebook AI Research,-1,-1
2019,Université Paris Diderot,-1,-1
2019,Synapse-fr,-1,-1
2019,M3,419,-1
2019,Kyung Hee University,419,407
2019,Docomoinnovations,-1,-1
2019,Winterlightlabs,-1,-1
2019,Stanford University,4,3
2019,Cornell University,6,19
2019,Lawrence Berkeley National Lab,-1,-1
2019,"University of Illinois, Chicago",-1,-1
2019,"University of California, Los Angeles",-1,15
2019,Los Alamos National Laboratory,-1,-1
2019,Siemens Corporate Research,-1,-1
2019,Heidelberg University,207,45
2019,Mila,136,314
2019,International Computer Science Institute,-1,-1
2019,"University of California, San Francisco",-1,-1
2019,Politecnico di Torino,-1,-1
2019,NEC-Labs,-1,-1
2019,Victoria University Wellington,-1,346
2019,Central Institute of Mental Health,-1,-1
2019,163,-1,-1
2019,University of Technology Sydney,67,216
2019,Swiss Federal Institute of Technology Lausanne,-1,-1
2019,CSIRO,-1,-1
2019,Valeo,-1,-1
2019,Softbank Robotics Europe,-1,-1
2019,Nbicc,-1,-1
2019,Avignon University,-1,-1
2019,McMaster University,419,78
2019,"Qualcomm Inc, QualComm",-1,-1
2019,University of Caen Normandie,-1,-1
2019,University of Gothenburg,-1,197
2019,Facebook,-1,-1
2019,"University of North Carolina, Charlotte",67,-1
2019,Johannes Kepler University Linz,-1,-1
2019,A*STAR,-1,-1
2019,Imagia,-1,-1
2019,Stevens Institute of Technology,169,512
2019,"University of Minnesota, Minneapolis",67,56
2019,Chennai Mathematical Institute,-1,-1
2019,Missouri University of Science and Technology,-1,538
2019,Foxmail,-1,-1
2019,INRIA,-1,-1
2019,Max-Planck Institute,-1,-1
2019,New York University,24,27
2019,"University of California, Riverside",-1,197
2019,London School of Economics,-1,26
2019,Defence Science and Technology Group,-1,-1
2019,Nevada System of Higher Education,-1,-1
2019,Bar-Ilan University,94,456
2019,Army Reserach laboratory,-1,-1
2019,Lehigh University,285,533
2019,Sony Corporation,-1,-1
2019,Intel,-1,-1
2019,Deephow,-1,-1
2019,babylon health,-1,-1
2019,University of Houston,207,330
2019,Ryerson University,285,-1
2019,"University of Texas, Arlington",-1,-1
2019,NVIDIA,-1,-1
2019,University of Iowa,169,223
2019,Laval university,-1,265
2019,USC/ISI,-1,-1
2019,Calico Labs,-1,-1
2019,TU Darmstadt,59,-1
2019,Dartmouth College,169,89
2019,VW GOA IECC,-1,-1
2019,Swarthmore College,-1,-1
2019,University of Victoria,207,346
2019,Imagen Technologies Inc,-1,-1
2019,Syracuse University,207,275
2019,Columbia University,21,14
2019,Eindhoven University of Technology,-1,141
2019,Samsung,-1,-1
2019,Florida Atlantic University,419,712
2019,"Indian Statistical Institute, Kolkata",-1,-1
2019,UQAM,-1,-1
2019,Microsoft,-1,-1
2019,Visa Research,-1,-1
2019,"Machine Learning Research Lab, Volkswagen Group",-1,-1
2019,"The Chinese University of Hong Kong, Shenzhen",47,40
2019,University of Stirling,-1,309
2019,University of Waterloo,31,207
2019,Chinese University of Hong Kong,47,58
2019,Virginia Tech,77,-1
2019,Huawei Technologies Ltd.,-1,-1
2019,SRI International,-1,-1
2019,"The Institute of Statistical Mathematics, Japan",-1,-1
2019,University of Western Ontario,-1,-1
2019,"University of Illinois, Urbana-Champaign",-1,-1
